experiment_id,dataset,number_of_data,model,prompt_type,number_of_shots,temperature,max_tokens,stop,batch_size,pad_token,pad_token_id,eos_token_id,seed,device,note,accuracy,sensitivity_general,sensitivity_correct,sensitivity_incorrect,model_size,,
20230913_163804,rte,277,google/flan-t5-xxl,zero_b,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.8050541516,0.09530685921,0.05381165919,0.2666666667,T5-11B-T,,
20230913_163919,rte,277,google/flan-t5-xxl,base_a,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.238267148,0.3176895307,0.3575757576,0.3052132701,T5-11B-T,,
20230913_164022,rte,277,google/flan-t5-xxl,base_a,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.238267148,0.3176895307,0.3575757576,0.3052132701,T5-11B-T,,
20230913_164124,rte,277,google/flan-t5-xxl,base_a,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.238267148,0.3176895307,0.3575757576,0.3052132701,T5-11B-T,,
20230913_164226,rte,277,google/flan-t5-xxl,base_b,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.8700361011,0.1711191336,0.1502074689,0.3111111111,T5-11B-T,,
20230913_164354,rte,277,google/flan-t5-xxl,base_b,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.8700361011,0.1711191336,0.1502074689,0.3111111111,T5-11B-T,,
20230913_164522,rte,277,google/flan-t5-xxl,base_b,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.8700361011,0.1711191336,0.1502074689,0.3111111111,T5-11B-T,,
20230913_164650,rte,277,google/flan-t5-xxl,context faithful prompting,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.8555956679,0.1682310469,0.1451476793,0.305,T5-11B-T,,
20230913_164831,rte,277,google/flan-t5-xxl,context faithful prompting,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.8555956679,0.1682310469,0.1451476793,0.305,T5-11B-T,,
20230913_165011,rte,277,google/flan-t5-xxl,context faithful prompting,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.8555956679,0.1682310469,0.1451476793,0.305,T5-11B-T,,
20230913_165152,sst2,872,google/flan-t5-xxl,zero_a,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,1,0.01743119266,0.01743119266,0,T5-11B-T,,
